date,status,ticker,template,score,entry,stop,target,rr,outcome,outcome_pct,outcome_note,fire_window,fire_reason,confirmed,price_940,vwap_940,gap_940_pct,gap_close_pct,rel_vol_940,rel_vol_close,premkt_dollar_vol,session_dollar_vol_940,catalyst_weight,catalyst_reason,no_trade_reason
2026-06-26,PICK,CBIO,momentum_breakout,33.1,18.0,17.04,19.92,2.0,loss,-5.33,stop touch 2026-06-26 13:58 ET,rth,"09:35-10:00 window, intraday confirmation present",True,18.0,17.2554,5.94,9.24,0.91,16.78,0,57425,1.0,,
2026-05-19,NO-TRADE,,,,,,,,,,,,,,,,,,,,,,,,PAB 67.3: RTH window requires intraday confirmation (above VWAP + continuation) | PCPI 65.2: RTH window requires intraday confirmation (above VWAP + continuation) | CMBT 64.6: RTH window requires intraday confirmation (above VWAP + continuation)
2026-05-21,NO-TRADE,,,,,,,,,,,,,,,,,,,,,,,,ATPC 73.2: RTH window requires intraday confirmation (above VWAP + continuation) | PCLA 72.8: RTH window requires intraday confirmation (above VWAP + continuation) | EMEM 69.9: RTH window requires intraday confirmation (above VWAP + continuation)
2026-05-22,PICK,UTI,low_float_squeeze_strict,58.8,39.8,38.87,41.66,2.0,loss,-2.34,stop touch 2026-05-26 15:14 ET,rth,"09:35-10:00 window, intraday confirmation present",True,39.8,39.523,8.74,9.45,13.08,6.38,228919,5440335,1.0,,
2026-05-25,NO-DATA,,,,,,,,,,,,,,,,,,,,,,,,no grouped-daily data (market holiday or feed gap)
2026-05-26,NO-TRADE,,,,,,,,,,,,,,,,,,,,,,,,EMSC 84.8: RTH window requires intraday confirmation (above VWAP + continuation) | EMEM 81.3: RTH window requires intraday confirmation (above VWAP + continuation) | AEMD 79.7: RTH window requires intraday confirmation (above VWAP + continuation)
2026-05-27,NO-TRADE,,,,,,,,,,,,,,,,,,,,,,,,NHIC 84.1: RTH window requires intraday confirmation (above VWAP + continuation) | VTIX 82.3: RTH window requires intraday confirmation (above VWAP + continuation) | AMSS 74.8: RTH window requires intraday confirmation (above VWAP + continuation)
2026-05-28,PICK,IALT,vwap_reclaim_hold,44.4,28.26,27.84,29.1,2.0,expired,2.44,no touch in 5 sessions (close 2026-06-04 19:22 ET),rth,"09:35-10:00 window, intraday confirmation present",True,28.26,28.244,0.39,0.53,18.06,586.73,31029,3022299,1.0,,
2026-06-01,NO-TRADE,,,,,,,,,,,,,,,,,,,,,,,,SSAC 71.8: RTH window requires intraday confirmation (above VWAP + continuation) | AIIO 66.5: RTH window requires intraday confirmation (above VWAP + continuation) | PSIG 51.5: RTH window requires intraday confirmation (above VWAP + continuation)
2026-06-02,PICK,SPPL,momentum_breakout,40.5,3.62,3.57,3.74,2.0,win,3.31,target touch 2026-06-02 13:48 ET,rth,"09:35-10:00 window, intraday confirmation present",True,3.625,3.6106,0.97,8.64,6.51,11.77,24729,1219664,1.0,,
2026-06-03,PICK,QURE,low_float_squeeze_strict,51.1,27.75,27.14,28.97,2.0,loss,-2.2,stop touch 2026-06-03 09:49 ET,rth,"09:35-10:00 window, intraday confirmation present",True,27.75,27.4825,3.7,11.66,4.13,3.3,1028437,3898368,1.0,,
2026-05-20,PICK,MWC,low_float_squeeze_strict,78.7,13.6,12.24,16.32,2.0,loss,-10.0,stop touch 2026-05-20 09:41 ET,rth,"09:35-10:00 window, intraday confirmation present",True,13.6,12.0841,188.14,51.48,13890.07,1203.16,218183941,265492563,1.0,,
2026-05-29,PICK,FPS,momentum_breakout,77.3,49.55,47.6,53.45,2.0,win,7.87,target touch 2026-05-29 14:25 ET,rth,"09:35-10:00 window, intraday confirmation present",True,49.55,48.4422,4.18,14.93,32.51,6.47,131438887,337143227,1.0,,
2026-06-04,NO-TRADE,,,,,,,,,,,,,,,,,,,,,,,,ROLR 81.7: RTH window requires intraday confirmation (above VWAP + continuation) | EDHL 74.0: RTH window requires intraday confirmation (above VWAP + continuation) | SPRC 73.9: RTH window requires intraday confirmation (above VWAP + continuation)
2026-06-05,PICK,MSOS,bull_flag,57.6,5.56,5.26,6.16,2.0,loss,-5.4,stop touch 2026-06-11 10:21 ET,rth,"09:35-10:00 window, intraday confirmation present",True,5.5602,5.4569,9.02,7.25,3.81,1.62,6717049,14336633,1.0,,
2026-06-08,NO-TRADE,,,,,,,,,,,,,,,,,,,,,,,,ABAT 85.7: RTH window requires intraday confirmation (above VWAP + continuation) | NRIX 84.7: RTH window requires intraday confirmation (above VWAP + continuation) | VAMO 77.3: RTH window requires intraday confirmation (above VWAP + continuation)
