strategy,instrument,segment,v1_trades,v1_wr_pct,v1_pf,v1_dd_pct,v1_net_usd,v1_avg_r,v2_trades,v2_wr_pct,v2_pf,v2_dd_pct,v2_net_usd,v2_avg_r,delta_trades,delta_wr_pct,delta_pf,delta_dd_pct,delta_net_usd,delta_avg_r
FVG Inversion Tap,ES,full,134,88.1,5.50,1.4,105198.50,0.75,134,39.6,3.69,2.2,85228.50,5.63,0,-48.5,-1.82,0.9,-19970.00,4.89
FVG Inversion Tap,ES,in_sample,91,89.0,6.28,1.6,77141.50,0.77,91,40.7,4.08,2.2,62391.00,5.95,0,-48.4,-2.20,0.6,-14750.50,5.18
FVG Inversion Tap,ES,out_of_sample,43,86.0,4.21,2.2,28057.00,0.68,43,37.2,2.99,2.7,22837.50,5.05,0,-48.8,-1.22,0.4,-5219.50,4.37
Power of 3 (PO3),ES,full,163,84.7,5.00,5.0,137761.00,0.91,165,42.4,3.34,6.0,111056.50,4.54,2,-42.2,-1.66,1.0,-26704.50,3.63
Power of 3 (PO3),ES,in_sample,99,89.9,7.80,1.2,95676.00,0.88,101,44.6,4.53,2.1,77928.50,5.64,2,-45.3,-3.27,0.9,-17747.50,4.76
Power of 3 (PO3),ES,out_of_sample,64,76.6,3.07,8.4,42085.00,0.94,64,39.1,2.31,9.4,33128.00,3.60,0,-37.5,-0.76,1.0,-8957.00,2.66
ICT 2022 Model (AMD),ES,full,153,69.3,3.67,4.4,143649.50,1.63,153,54.2,3.02,5.2,121925.00,2.55,0,-15.0,-0.64,0.8,-21724.50,0.92
ICT 2022 Model (AMD),ES,in_sample,93,77.4,5.46,1.5,104963.50,1.59,93,59.1,4.48,1.8,92708.50,3.09,0,-18.3,-0.98,0.3,-12255.00,1.50
ICT 2022 Model (AMD),ES,out_of_sample,60,56.7,2.28,7.8,38686.00,1.74,60,46.7,1.87,8.9,29216.50,2.14,0,-10.0,-0.41,1.1,-9469.50,0.40
SMT Divergence Reversal,ES,full,159,66.7,3.18,2.5,128441.00,1.59,159,52.8,2.65,3.0,107742.50,2.36,0,-13.8,-0.53,0.5,-20698.50,0.77
SMT Divergence Reversal,ES,in_sample,112,70.5,3.84,3.4,104010.50,1.60,112,56.2,3.18,3.6,88931.50,2.47,0,-14.3,-0.66,0.3,-15079.00,0.87
SMT Divergence Reversal,ES,out_of_sample,47,57.4,2.10,4.7,24430.50,1.55,47,44.7,1.76,5.3,18811.00,2.18,0,-12.8,-0.33,0.6,-5619.50,0.63
Judas Swing,ES,full,249,64.7,2.87,7.3,178707.25,1.57,249,48.2,2.36,9.7,146489.25,2.54,0,-16.5,-0.51,2.5,-32218.00,0.97
Judas Swing,ES,in_sample,177,63.8,2.65,7.3,116575.75,1.50,177,46.9,2.18,9.7,93439.75,2.47,0,-16.9,-0.47,2.5,-23136.00,0.97
Judas Swing,ES,out_of_sample,72,66.7,3.50,5.2,62131.50,1.75,72,51.4,2.89,5.9,53049.50,2.74,0,-15.3,-0.60,0.7,-9082.00,0.99
London Sweep into NY,ES,full,153,69.3,3.67,4.4,143649.50,1.63,153,54.2,3.02,5.2,121925.00,2.55,0,-15.0,-0.64,0.8,-21724.50,0.92
London Sweep into NY,ES,in_sample,93,77.4,5.46,1.5,104963.50,1.59,93,59.1,4.48,1.8,92708.50,3.09,0,-18.3,-0.98,0.3,-12255.00,1.50
London Sweep into NY,ES,out_of_sample,60,56.7,2.28,7.8,38686.00,1.74,60,46.7,1.87,8.9,29216.50,2.14,0,-10.0,-0.41,1.1,-9469.50,0.40
IOFED Precision Entry,ES,full,249,64.7,2.87,7.3,178707.25,1.57,249,48.2,2.36,9.7,146489.25,2.54,0,-16.5,-0.51,2.5,-32218.00,0.97
IOFED Precision Entry,ES,in_sample,177,63.8,2.65,7.3,116575.75,1.50,177,46.9,2.18,9.7,93439.75,2.47,0,-16.9,-0.47,2.5,-23136.00,0.97
IOFED Precision Entry,ES,out_of_sample,72,66.7,3.50,5.2,62131.50,1.75,72,51.4,2.89,5.9,53049.50,2.74,0,-15.3,-0.60,0.7,-9082.00,0.99
NY PM Reversal,ES,full,249,65.1,2.86,6.3,175235.75,1.54,249,49.8,2.35,8.7,142742.75,2.37,0,-15.3,-0.51,2.3,-32493.00,0.84
NY PM Reversal,ES,in_sample,177,64.4,2.64,6.3,114004.25,1.46,177,49.2,2.19,8.7,92318.25,2.27,0,-15.3,-0.45,2.3,-21686.00,0.81
NY PM Reversal,ES,out_of_sample,72,66.7,3.47,5.2,61231.50,1.74,72,51.4,2.80,6.0,50424.50,2.65,0,-15.3,-0.67,0.8,-10807.00,0.91
Reversal Swing,ES,full,153,69.3,3.67,4.4,143649.50,1.63,153,54.2,3.02,5.2,121925.00,2.55,0,-15.0,-0.64,0.8,-21724.50,0.92
Reversal Swing,ES,in_sample,93,77.4,5.46,1.5,104963.50,1.59,93,59.1,4.48,1.8,92708.50,3.09,0,-18.3,-0.98,0.3,-12255.00,1.50
Reversal Swing,ES,out_of_sample,60,56.7,2.28,7.8,38686.00,1.74,60,46.7,1.87,8.9,29216.50,2.14,0,-10.0,-0.41,1.1,-9469.50,0.40
AMD Strategy,ES,full,153,69.3,3.67,4.4,143649.50,1.63,153,54.2,3.02,5.2,121925.00,2.55,0,-15.0,-0.64,0.8,-21724.50,0.92
AMD Strategy,ES,in_sample,93,77.4,5.46,1.5,104963.50,1.59,93,59.1,4.48,1.8,92708.50,3.09,0,-18.3,-0.98,0.3,-12255.00,1.50
AMD Strategy,ES,out_of_sample,60,56.7,2.28,7.8,38686.00,1.74,60,46.7,1.87,8.9,29216.50,2.14,0,-10.0,-0.41,1.1,-9469.50,0.40
ICT Silver Bullet,ES,full,249,64.7,2.87,7.3,178707.25,1.57,249,48.2,2.36,9.7,146489.25,2.54,0,-16.5,-0.51,2.5,-32218.00,0.97
ICT Silver Bullet,ES,in_sample,177,63.8,2.65,7.3,116575.75,1.50,177,46.9,2.18,9.7,93439.75,2.47,0,-16.9,-0.47,2.5,-23136.00,0.97
ICT Silver Bullet,ES,out_of_sample,72,66.7,3.50,5.2,62131.50,1.75,72,51.4,2.89,5.9,53049.50,2.74,0,-15.3,-0.60,0.7,-9082.00,0.99
Liquidity Sweep + FVG,ES,full,159,66.7,3.26,2.4,133359.75,1.63,159,52.2,2.68,2.9,110480.00,2.46,0,-14.5,-0.58,0.5,-22879.75,0.83
Liquidity Sweep + FVG,ES,in_sample,112,70.5,3.93,3.4,107566.75,1.64,112,56.2,3.26,3.6,92406.50,2.54,0,-14.3,-0.67,0.3,-15160.25,0.90
Liquidity Sweep + FVG,ES,out_of_sample,47,57.4,2.16,4.7,25793.00,1.60,47,42.6,1.73,5.3,18073.50,2.33,0,-14.9,-0.43,0.7,-7719.50,0.73
FVG/VWAP Structure Bias (renamed),NQ,full,30,80.0,5.11,2.1,22939.00,1.28,30,46.7,4.70,2.2,21673.50,5.38,0,-33.3,-0.41,0.1,-1265.50,4.10
FVG/VWAP Structure Bias (renamed),NQ,in_sample,24,79.2,4.17,2.1,15210.50,1.10,24,45.8,3.83,2.2,14085.50,4.53,0,-33.3,-0.34,0.1,-1125.00,3.43
FVG/VWAP Structure Bias (renamed),NQ,out_of_sample,6,83.3,10.99,0.7,7728.50,2.20,6,50.0,9.68,0.8,7588.00,9.68,0,-33.3,-1.31,0.1,-140.50,7.48
