strategy,instrument,role,flags,gate,tp_mode,params,train_trades,train_pf,train_eff_wr_pct,oos2t_trades,oos2t_tpw,oos2t_raw_wr_pct,oos2t_eff_wr_pct,oos2t_be,oos2t_pf,oos2t_dd_pct,oos2t_net_usd,oos1t_trades,oos1t_tpw,oos1t_raw_wr_pct,oos1t_eff_wr_pct,oos1t_be,oos1t_pf,oos1t_dd_pct,oos1t_net_usd,params_json
FVG Inversion Tap,ES,V1_BASELINE,,on,auto,tp=auto gate=on be=0.5R fvgmin=4 sess=NY_AM+LONDON filt=none,91,6.21,79.2,43,13.7,34.9,34.9,0,2.75,2.7,20417.50,43,13.7,86.0,71.4,22,3.86,2.3,25530.00,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 4, ""gate"": ""on"", ""session_filters"": [""NY_AM"", ""LONDON""], ""take_profit_mode"": ""auto"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
FVG Inversion Tap,ES,FRONTIER,,on,auto,tp=auto gate=on be=0.5R fvgmin=6 sess=NY_AM filt=none,91,7.09,80.8,43,13.7,37.2,37.2,0,2.98,2.7,22907.50,43,13.7,86.0,72.7,21,4.18,2.2,28120.00,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 6, ""gate"": ""on"", ""session_filters"": [""NY_AM""], ""take_profit_mode"": ""auto"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
FVG Inversion Tap,ES,FRONTIER,,on,auto,tp=auto gate=on be=0.5R fvgmin=6 sess=NY_AM+LONDON filt=none,91,7.09,80.8,43,13.7,37.2,37.2,0,2.98,2.7,22907.50,43,13.7,86.0,72.7,21,4.18,2.2,28120.00,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 6, ""gate"": ""on"", ""session_filters"": [""NY_AM"", ""LONDON""], ""take_profit_mode"": ""auto"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
FVG Inversion Tap,ES,FRONTIER,MAX_HONEST_WR,on,range,tp=range gate=on be=0.5R fvgmin=6 sess=NY_AM filt=none,91,7.20,80.4,43,13.7,37.2,37.2,0,2.99,2.7,23207.50,43,13.7,86.0,72.7,21,4.19,2.2,28382.50,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 6, ""gate"": ""on"", ""session_filters"": [""NY_AM""], ""take_profit_mode"": ""range"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
FVG Inversion Tap,ES,FRONTIER,,on,range,tp=range gate=on be=0.5R fvgmin=6 sess=NY_AM+LONDON filt=none,91,7.20,80.4,43,13.7,37.2,37.2,0,2.99,2.7,23207.50,43,13.7,86.0,72.7,21,4.19,2.2,28382.50,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 6, ""gate"": ""on"", ""session_filters"": [""NY_AM"", ""LONDON""], ""take_profit_mode"": ""range"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
FVG Inversion Tap,ES,FRONTIER,,off,auto,tp=auto gate=off be=0.5R fvgmin=4 sess=NY_AM+LONDON filt=none,56,8.77,85.3,46,14.7,37.0,37.0,0,2.98,7.2,24560.00,46,14.7,89.1,77.3,24,4.82,3.9,31332.50,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 4, ""gate"": ""off"", ""session_filters"": [""NY_AM"", ""LONDON""], ""take_profit_mode"": ""auto"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
FVG Inversion Tap,ES,FRONTIER,,off,auto,tp=auto gate=off be=0.5R fvgmin=6 sess=NY_AM+LONDON filt=none,55,9.49,85.7,45,14.4,35.6,35.6,0,2.81,7.2,22310.00,45,14.4,88.9,76.2,24,4.55,3.9,28882.50,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 6, ""gate"": ""off"", ""session_filters"": [""NY_AM"", ""LONDON""], ""take_profit_mode"": ""auto"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
FVG Inversion Tap,ES,FRONTIER,,on,auto,tp=auto gate=on be=0.5R fvgmin=4 sess=NY_AM filt=none,91,6.21,79.2,43,13.7,34.9,34.9,0,2.75,2.7,20417.50,43,13.7,86.0,71.4,22,3.86,2.3,25530.00,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 4, ""gate"": ""on"", ""session_filters"": [""NY_AM""], ""take_profit_mode"": ""auto"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
FVG Inversion Tap,ES,FRONTIER,,off,range,tp=range gate=off be=0.5R fvgmin=6 sess=NY_AM+LONDON filt=none,54,9.96,85.3,43,13.7,32.6,32.6,0,2.70,8.5,20870.00,44,14.1,86.4,70.0,24,3.92,6.1,26282.50,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 6, ""gate"": ""off"", ""session_filters"": [""NY_AM"", ""LONDON""], ""take_profit_mode"": ""range"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
Power of 3 (PO3),ES,V1_BASELINE,,on,auto,tp=auto gate=on be=0.5R fvgmin=4 filt=none,99,7.71,82.1,56,17.9,35.7,35.7,0,1.99,10.2,22805.00,56,17.9,75.0,58.8,22,2.55,9.1,29930.00,"{""breakeven_at_r"": 0.5, ""breakeven_mode"": ""r"", ""fvg_min_size_ticks"": 4, ""gate"": ""on"", ""take_profit_mode"": ""auto"", ""use_rsi_filter"": false, ""use_vwap_filter"": false}"
